,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
43,0.0424,https://api.spotify.com/v1/audio-analysis/6PbmSCgNCDAGJfYJucqUEh,0.555,187317,0.91,6PbmSCgNCDAGJfYJucqUEh,0.223,11,0.142,-4.285,1,0.045,122.993,4,https://api.spotify.com/v1/tracks/6PbmSCgNCDAGJfYJucqUEh,audio_features,spotify:track:6PbmSCgNCDAGJfYJucqUEh,0.466
44,0.147,https://api.spotify.com/v1/audio-analysis/5YGw1I0BDDtVm2QWlmpKIX,0.768,210516,0.559,5YGw1I0BDDtVm2QWlmpKIX,0.0836,8,0.119,-6.754,1,0.0429,123.981,4,https://api.spotify.com/v1/tracks/5YGw1I0BDDtVm2QWlmpKIX,audio_features,spotify:track:5YGw1I0BDDtVm2QWlmpKIX,0.281
45,0.0744,https://api.spotify.com/v1/audio-analysis/61VEcQZQZUF4o7QgXsOFjB,0.655,180650,0.811,61VEcQZQZUF4o7QgXsOFjB,0.0,8,0.137,-5.131,1,0.0545,113.935,4,https://api.spotify.com/v1/tracks/61VEcQZQZUF4o7QgXsOFjB,audio_features,spotify:track:61VEcQZQZUF4o7QgXsOFjB,0.313
46,0.00207,https://api.spotify.com/v1/audio-analysis/7AjR1cgg9bgKMVyE7Djjdq,0.796,312163,0.632,7AjR1cgg9bgKMVyE7Djjdq,0.0396,0,0.0389,-8.55,0,0.0629,123.994,4,https://api.spotify.com/v1/tracks/7AjR1cgg9bgKMVyE7Djjdq,audio_features,spotify:track:7AjR1cgg9bgKMVyE7Djjdq,0.641
47,0.0565,https://api.spotify.com/v1/audio-analysis/36d6jYjM0djQZFXWsAfWpa,0.735,346230,0.782,36d6jYjM0djQZFXWsAfWpa,0.00128,11,0.603,-6.976,0,0.0532,122.015,4,https://api.spotify.com/v1/tracks/36d6jYjM0djQZFXWsAfWpa,audio_features,spotify:track:36d6jYjM0djQZFXWsAfWpa,0.735
48,0.00496,https://api.spotify.com/v1/audio-analysis/61YRj9aKGzInHvrR0CW2Iu,0.917,318852,0.548,61YRj9aKGzInHvrR0CW2Iu,0.00386,3,0.0815,-9.428,0,0.0444,122.0,4,https://api.spotify.com/v1/tracks/61YRj9aKGzInHvrR0CW2Iu,audio_features,spotify:track:61YRj9aKGzInHvrR0CW2Iu,0.598
49,0.00503,https://api.spotify.com/v1/audio-analysis/1de1CyKs0pU4zRFu6VjZ7u,0.645,210332,0.926,1de1CyKs0pU4zRFu6VjZ7u,0.663,8,0.228,-5.678,0,0.0273,123.001,4,https://api.spotify.com/v1/tracks/1de1CyKs0pU4zRFu6VjZ7u,audio_features,spotify:track:1de1CyKs0pU4zRFu6VjZ7u,0.58
50,0.266,https://api.spotify.com/v1/audio-analysis/2pq9pe4fR25v736ZXa8IRn,0.614,182857,0.615,2pq9pe4fR25v736ZXa8IRn,0.000243,4,0.0887,-7.819,1,0.0312,125.976,4,https://api.spotify.com/v1/tracks/2pq9pe4fR25v736ZXa8IRn,audio_features,spotify:track:2pq9pe4fR25v736ZXa8IRn,0.585
51,0.000734,https://api.spotify.com/v1/audio-analysis/1ZWFDTlFuJ9kepAOI1LbfJ,0.666,248242,0.65,1ZWFDTlFuJ9kepAOI1LbfJ,0.00069,2,0.104,-6.839,0,0.0378,124.042,4,https://api.spotify.com/v1/tracks/1ZWFDTlFuJ9kepAOI1LbfJ,audio_features,spotify:track:1ZWFDTlFuJ9kepAOI1LbfJ,0.755
52,0.0323,https://api.spotify.com/v1/audio-analysis/7iNG4dOx8AGHakv2wGQN98,0.759,282000,0.934,7iNG4dOx8AGHakv2wGQN98,0.0957,9,0.0404,-3.049,0,0.0486,120.0,4,https://api.spotify.com/v1/tracks/7iNG4dOx8AGHakv2wGQN98,audio_features,spotify:track:7iNG4dOx8AGHakv2wGQN98,0.464
53,0.0119,https://api.spotify.com/v1/audio-analysis/1dBCZCRb8sQIG9P6iEu0Mg,0.747,267554,0.624,1dBCZCRb8sQIG9P6iEu0Mg,0.0426,3,0.0687,-7.053,0,0.0504,122.004,4,https://api.spotify.com/v1/tracks/1dBCZCRb8sQIG9P6iEu0Mg,audio_features,spotify:track:1dBCZCRb8sQIG9P6iEu0Mg,0.541
54,0.00299,https://api.spotify.com/v1/audio-analysis/7IXjxb3vmqbqZr06kieNUh,0.774,234146,0.558,7IXjxb3vmqbqZr06kieNUh,0.0488,2,0.102,-7.45,1,0.0481,124.987,4,https://api.spotify.com/v1/tracks/7IXjxb3vmqbqZr06kieNUh,audio_features,spotify:track:7IXjxb3vmqbqZr06kieNUh,0.498
55,0.119,https://api.spotify.com/v1/audio-analysis/3eR23VReFzcdmS7TYCrhCe,0.64,220781,0.533,3eR23VReFzcdmS7TYCrhCe,0.0,0,0.0864,-6.596,1,0.0706,99.968,4,https://api.spotify.com/v1/tracks/3eR23VReFzcdmS7TYCrhCe,audio_features,spotify:track:3eR23VReFzcdmS7TYCrhCe,0.515
56,0.0652,https://api.spotify.com/v1/audio-analysis/5kwTdbmR4WXkjISa1U1Yao,0.81,262227,0.574,5kwTdbmR4WXkjISa1U1Yao,0.0208,5,0.0669,-7.886,0,0.145,119.976,4,https://api.spotify.com/v1/tracks/5kwTdbmR4WXkjISa1U1Yao,audio_features,spotify:track:5kwTdbmR4WXkjISa1U1Yao,0.53
57,0.014,https://api.spotify.com/v1/audio-analysis/6TpiHrVjVIQU4Pr123uq54,0.862,247680,0.511,6TpiHrVjVIQU4Pr123uq54,0.0437,1,0.0637,-8.038,0,0.0484,124.984,4,https://api.spotify.com/v1/tracks/6TpiHrVjVIQU4Pr123uq54,audio_features,spotify:track:6TpiHrVjVIQU4Pr123uq54,0.883
58,0.0364,https://api.spotify.com/v1/audio-analysis/7i4cCgfV4e0bWEHTfmnVGE,0.778,342870,0.788,7i4cCgfV4e0bWEHTfmnVGE,0.195,10,0.0733,-7.388,1,0.0325,120.0,4,https://api.spotify.com/v1/tracks/7i4cCgfV4e0bWEHTfmnVGE,audio_features,spotify:track:7i4cCgfV4e0bWEHTfmnVGE,0.304
